Age,Items Purchased,Total Spent,Discount (%),Satisfaction Score,Warranty Extension,Gender,Region,Product Category,Payment Method,Revenue,Store Rating,Loyalty Score,Membership Status,Preferred Visit Time
42,12,407.65,9.235357464,5,0,Male,East,Television,UPI,1947.93,3,34,0.0,Morning
66,1,31.08,46.89152958,1,1,Male,South,Television,Net Banking,-20.51,3,2,0.0,Evening
44,11,357.1,14.28973415,4,0,Male,North,Laptop,Credit Card,1353.12,3,27,1.0,Afternoon
59,9,157.75,34.22528466,2,0,Female,West,Accessories,Cash,207.37,4,12,0.0,Evening
45,9,350.6,14.94028613,1,0,Female,North,Television,Debit Card,245.0,4,7,0.0,Evening
33,10,326.13,17.38728548,1,0,Male,East,Mobile,Cash,259.53,4,3,0.0,Evening
32,2,83.56,41.64395805,1,0,Female,West,Tablet,Net Banking,142.98,3,4,0.0,Afternoon
64,4,127.94,37.20593112,1,0,Female,East,Laptop,Credit Card,143.19,3,5,0.0,Evening
68,13,262.97,23.70313555,4,1,Male,North,Accessories,Cash,1063.58,4,22,0.0,Evening
61,8,301.51,19.84880529,4,0,Female,South,Mobile,Cash,1047.58,3,28,0.0,Morning
69,7,147.23,35.27653413,2,0,Male,West,Television,Cash,164.58,3,17,0.0,Morning
20,1,45.53,45.44661903,1,0,Female,North,Laptop,Debit Card,-125.17,3,5,0.0,Evening
54,5,182.3,31.77046582,4,0,Male,West,Television,Credit Card,634.53,3,26,1.0,Morning
68,7,143.51,35.64850485,5,0,Female,East,Tablet,UPI,671.83,4,30,1.0,Afternoon
24,4,194.73,30.5272672,2,0,Female,North,Laptop,Credit Card,305.98,4,9,0.0,Morning
38,1,33.14,46.68572088,1,0,Male,West,Mobile,Cash,210.44,3,12,0.0,Afternoon
26,9,157.96,34.20369877,1,1,Other,North,Accessories,Credit Card,325.49,4,7,0.0,Afternoon
56,14,517.15,5.0,5,0,Male,North,Accessories,UPI,2593.13,4,30,0.0,Morning
35,5,119.31,38.06901913,1,0,Female,East,Tablet,Debit Card,182.48,4,8,0.0,Morning
21,11,474.42,5.0,4,0,Female,East,Accessories,Credit Card,2337.39,3,32,0.0,Afternoon
42,2,87.25,41.27524549,2,0,Female,East,Accessories,Credit Card,167.49,3,14,0.0,Evening
31,8,394.11,10.58947404,5,1,Male,South,Tablet,Debit Card,1880.54,3,29,0.0,Evening
67,11,358.22,14.17802306,1,1,Male,West,Mobile,Debit Card,541.98,3,13,0.0,Evening
26,13,402.01,9.799461972,3,1,Female,East,Laptop,Cash,1330.1,4,18,0.0,Evening
43,2,82.74,41.72567076,1,0,Male,South,Laptop,Cash,76.7,4,2,0.0,Morning
19,3,58.91,44.10905811,3,1,Female,South,Tablet,Debit Card,231.71,4,15,0.0,Morning
37,14,477.99,5.0,3,1,Female,West,Television,UPI,1600.85,3,19,0.0,Afternoon
45,10,341.19,15.881334,1,0,Female,West,Tablet,Cash,246.93,4,5,0.0,Afternoon
64,1,18.13,48.18684407,1,0,Male,East,Tablet,UPI,266.69,4,11,0.0,Evening
24,11,325.92,17.40761271,5,0,Female,South,Tablet,Debit Card,1314.74,3,32,0.0,Afternoon
61,2,89.73,41.02700641,2,0,Female,West,Tablet,Credit Card,131.07,3,13,0.0,Morning
25,14,629.52,5.0,5,1,Female,West,Accessories,Debit Card,3061.79,4,34,0.0,Evening
64,7,129.31,37.06867721,2,0,Unknown,West,Accessories,Debit Card,264.69,3,14,1.0,Evening
52,10,181.75,31.8247691,4,0,Male,West,Mobile,Net Banking,571.31,3,25,0.0,Evening
31,2,48.39,45.16113166,1,0,Male,South,Tablet,Debit Card,55.75,3,8,0.0,Afternoon
34,6,273.7,22.62991269,2,0,Unknown,North,Laptop,Unknown,482.04,3,17,0.0,Evening
53,3,58.53,44.14652286,1,0,Female,West,Television,Credit Card,27.32,3,7,0.0,Morning
67,4,160.8,33.92004476,1,0,Male,South,Accessories,UPI,225.79,3,6,0.0,Evening
57,11,203.95,29.60512364,1,1,Female,West,Laptop,Net Banking,339.16,3,9,0.0,Afternoon
21,13,478.53,5.0,5,1,Female,South,Accessories,Cash,2424.82,3,29,0.0,Afternoon
19,8,219.7,28.03011562,3,1,Female,East,Mobile,Credit Card,576.07,3,13,0.0,Evening
23,14,596.57,5.0,5,1,Male,North,Television,Unknown,2864.03,4,30,0.0,Evening
59,3,69.54,43.04625029,1,0,Female,South,Accessories,Credit Card,-41.17,3,5,1.0,Afternoon
21,10,373.72,12.62793597,4,0,Female,South,Television,Cash,1576.47,3,24,1.0,Morning
46,6,139.49,36.05066677,1,0,Male,South,Television,Credit Card,156.55,4,4,0.0,Morning
35,1,39.98,46.00218901,1,1,Male,West,Laptop,Debit Card,180.4,3,7,1.0,Evening
43,7,319.05,18.09488815,3,0,Female,East,Accessories,Credit Card,790.77,3,23,1.0,Evening
61,8,155.5,34.44954962,2,0,Male,West,Television,Debit Card,231.4,3,7,0.0,Evening
51,11,498.64,5.0,5,0,Male,East,Tablet,Cash,2191.95,4,27,0.0,Afternoon
27,14,500.85,5.0,4,0,Male,North,Television,Unknown,2141.09,4,31,1.0,Afternoon
53,8,155.59,34.44090626,1,0,Male,West,Television,Debit Card,283.75,3,2,1.0,Evening
31,3,89.89,41.01081052,5,0,Female,South,Accessories,Credit Card,184.96,3,25,0.0,Afternoon
48,14,288.82,21.11784562,4,0,Female,North,Tablet,Credit Card,1132.01,3,22,1.0,Afternoon
65,10,395.12,10.48782389,4,0,Female,West,Television,Credit Card,1842.34,3,25,0.0,Morning
32,1,41.56,45.84396153,1,0,Female,East,Accessories,Cash,25.7,4,6,0.0,Afternoon
25,9,168.33,33.16740961,1,1,Female,West,Accessories,Unknown,40.09,4,8,0.0,Evening
31,13,425.29,7.470636702,3,0,Female,West,Television,Credit Card,1632.59,4,27,0.0,Morning
40,6,261.07,23.89287382,3,0,Male,South,Mobile,Credit Card,841.08,3,26,0.0,Afternoon
57,11,525.42,5.0,1,1,Female,South,Mobile,Debit Card,894.69,3,12,0.0,Morning
38,9,296.76,20.3241872,1,0,Male,North,Laptop,Net Banking,261.61,3,7,0.0,Afternoon
33,7,337.82,16.21815902,2,1,Male,South,Mobile,Credit Card,589.91,3,17,0.0,Afternoon
62,1,33.75,46.6250886,1,1,Male,West,Mobile,Cash,183.65,3,8,0.0,Morning
35,12,345.56,15.44399923,2,1,Male,West,Accessories,UPI,773.73,3,19,0.0,Afternoon
64,12,536.25,5.0,5,1,Male,East,Accessories,UPI,2690.86,3,29,0.0,Evening
41,1,32.25,46.77456051,1,0,Male,West,Television,UPI,14.12,4,7,0.0,Afternoon
43,6,189.1,31.09004728,1,1,Female,North,Television,Cash,31.59,4,5,0.0,Morning
42,5,160.8,33.91953144,4,1,Male,North,Accessories,UPI,367.27,4,22,0.0,Morning
62,9,401.74,9.826272441,4,0,Female,South,Television,UPI,1763.85,3,26,0.0,Afternoon
58,2,88.24,41.17640921,2,0,Female,East,Accessories,Debit Card,167.54,4,20,0.0,Evening
46,8,232.99,26.70144021,5,0,Female,West,Mobile,UPI,814.45,3,26,0.0,Afternoon
32,11,293.32,20.66795539,1,1,Male,South,Television,Debit Card,405.29,4,10,1.0,Afternoon
62,5,161.09,33.89125958,1,0,Female,West,Mobile,Debit Card,143.17,3,3,0.0,Afternoon
18,2,70.09,42.99059243,1,0,Male,North,Laptop,Debit Card,36.13,4,2,1.0,Afternoon
42,13,303.44,19.65565692,1,0,Female,North,Television,Cash,244.17,4,9,0.0,Evening
24,10,427.88,7.211572035,3,0,Female,East,Accessories,Credit Card,1503.17,4,24,0.0,Afternoon
26,11,352.3,14.77041352,5,1,Male,West,Accessories,Net Banking,1627.04,4,34,0.0,Evening
41,11,293.61,20.63924639,4,0,Male,West,Laptop,UPI,833.16,3,19,1.0,Afternoon
18,12,224.86,27.5135183,3,0,Male,North,Accessories,Net Banking,753.38,4,20,0.0,Evening
61,6,140.16,35.98425163,1,0,Female,East,Mobile,Credit Card,45.22,4,5,0.0,Afternoon
25,10,482.25,5.0,3,0,Female,South,Accessories,Debit Card,1683.81,3,23,0.0,Morning
41,8,205.43,29.45720877,4,0,Female,East,Laptop,Debit Card,709.75,3,23,1.0,Afternoon
28,4,83.64,41.63596995,1,0,Male,South,Tablet,Debit Card,18.12,3,0,0.0,Afternoon
68,2,62.25,43.77529046,1,0,Male,South,Tablet,Debit Card,205.9,3,8,0.0,Morning
34,12,308.98,19.10231478,3,1,Male,North,Mobile,UPI,824.54,4,17,0.0,Morning
25,11,178.54,32.14636886,4,0,Female,South,Tablet,Credit Card,762.32,3,24,0.0,Afternoon
52,5,131.55,36.8449587,3,1,Male,West,Accessories,Credit Card,387.51,3,17,0.0,Evening
52,12,408.53,9.147437795,1,0,Male,North,Laptop,Credit Card,529.83,4,11,1.0,Morning
50,2,68.62,43.1380134,1,0,Female,East,Mobile,Net Banking,-30.83,4,0,0.0,Morning
22,2,54.96,44.50408755,1,0,Female,East,Tablet,Debit Card,208.6,3,4,0.0,Morning
59,6,183.93,31.60664212,1,0,Female,South,Accessories,Cash,151.09,4,9,1.0,Morning
56,11,536.72,5.0,4,0,Male,West,Accessories,Credit Card,2309.21,3,34,0.0,Morning
58,10,282.07,21.7928033,4,0,Female,East,Television,Net Banking,1190.03,4,24,1.0,Morning
45,9,216.34,28.36585538,2,0,Female,South,Television,UPI,489.73,3,13,0.0,Afternoon
24,13,305.78,19.42224949,3,0,Female,East,Laptop,Debit Card,808.97,3,22,0.0,Afternoon
26,4,124.09,37.59129542,2,0,Male,West,Mobile,Net Banking,193.91,4,17,0.0,Morning
25,6,249.5,25.05007688,1,0,Male,South,Tablet,Cash,448.48,3,12,1.0,Evening
29,7,155.47,34.45328949,4,0,Male,West,Tablet,Cash,340.01,3,25,1.0,Evening
51,13,517.73,5.0,3,1,Female,South,Accessories,UPI,1847.18,3,17,0.0,Evening
50,11,173.14,32.6857318,3,0,Male,West,Tablet,Credit Card,275.26,3,12,1.0,Afternoon
65,6,177.98,32.20240746,4,1,Female,East,Laptop,Credit Card,523.05,4,22,0.0,Afternoon
40,8,337.24,16.27577817,1,0,Female,East,Television,Net Banking,369.19,3,7,0.0,Afternoon
41,4,107.42,39.25773862,1,1,Female,West,Accessories,Net Banking,40.29,3,9,1.0,Afternoon
54,12,416.77,8.323041739,5,0,Male,East,Mobile,Credit Card,2076.14,3,29,0.0,Morning
52,1,22.17,47.78257269,2,1,Female,East,Accessories,Credit Card,150.01,3,10,0.0,Morning
61,7,286.79,21.32111292,2,0,Female,South,Tablet,Net Banking,549.97,4,14,1.0,Evening
57,3,50.49,44.95106942,1,0,Male,West,Laptop,Debit Card,55.27,3,9,0.0,Evening
39,14,627.75,5.0,5,0,Other,South,Mobile,Cash,2921.43,3,31,0.0,Morning
44,6,131.62,36.83787589,3,0,Male,East,Accessories,Cash,403.51,4,21,1.0,Evening
52,2,91.21,40.87921378,1,1,Female,East,Tablet,UPI,260.74,4,4,0.0,Afternoon
18,9,246.05,25.3953289,1,0,Male,North,Accessories,Cash,114.05,4,1,0.0,Evening
52,1,40.29,45.97060749,1,0,Female,West,Mobile,Net Banking,90.61,4,7,1.0,Afternoon
54,6,157.04,34.29626875,2,0,Female,West,Tablet,Debit Card,374.25,3,16,0.0,Evening
64,6,280.24,21.9758549,2,0,Male,South,Television,Net Banking,406.97,3,16,0.0,Afternoon
31,5,97.16,40.2838503,2,0,Female,West,Mobile,Credit Card,84.36,3,12,0.0,Evening
20,13,276.23,22.37734959,1,0,Female,South,Television,Credit Card,156.91,3,16,1.0,Afternoon
18,5,161.28,33.87197281,1,0,Female,East,Television,Cash,212.74,4,3,1.0,Morning
22,1,17.87,48.21321546,1,0,Male,North,Tablet,Debit Card,23.28,4,1,0.0,Morning
43,10,218.59,28.14069354,2,0,Male,East,Accessories,UPI,340.67,3,13,0.0,Afternoon
31,12,576.38,5.0,5,0,Female,South,Accessories,Net Banking,2994.25,4,29,1.0,Morning
56,5,245.89,25.41143093,1,0,Male,South,Laptop,UPI,53.2,3,6,1.0,Evening
44,2,56.34,44.36618469,1,0,Female,North,Mobile,UPI,209.85,4,5,0.0,Morning
26,7,331.21,16.87949249,2,0,Male,East,Mobile,UPI,463.34,4,13,0.0,Afternoon
32,3,102.21,39.77934091,2,1,Male,West,Tablet,UPI,171.33,3,13,0.0,Morning
32,13,317.73,18.2267178,5,0,Female,North,Tablet,Net Banking,1179.25,4,25,1.0,Evening
43,4,158.34,34.1664179,3,1,Female,West,Laptop,Credit Card,380.65,4,23,1.0,Unknown
59,3,114.18,38.58153103,1,0,Female,East,Laptop,Net Banking,66.04,4,9,0.0,Unknown
30,3,148.86,35.11418415,1,1,Female,North,Television,Credit Card,75.61,4,16,0.0,Unknown
68,4,97.11,40.28933798,1,0,Female,East,Laptop,Credit Card,188.9,4,11,0.0,Unknown
49,5,192.61,30.7389587,3,0,Female,East,Accessories,Net Banking,564.17,3,21,1.0,Evening
56,1,16.82,48.31791686,1,0,Other,West,Television,Net Banking,47.38,3,5,0.0,Morning
66,4,75.91,42.40895546,1,0,Female,West,Laptop,Net Banking,126.06,4,7,1.0,Evening
69,12,181.65,31.83542825,1,1,Female,West,Accessories,Credit Card,329.92,4,6,0.0,Afternoon
49,12,599.77,5.0,5,1,Male,East,Accessories,Net Banking,2829.13,4,30,1.0,Evening
21,11,473.88,5.0,5,0,Female,South,Television,Debit Card,2391.3,3,29,0.0,Morning
47,8,340.28,15.97175559,4,0,Male,East,Television,Cash,1714.34,4,33,0.0,Afternoon
54,10,328.4,17.15958736,3,1,Male,South,Accessories,Cash,1203.33,3,26,1.0,Morning
40,7,178.52,32.14835647,2,0,Male,North,Tablet,Debit Card,509.3,4,11,0.0,Morning
56,9,182.65,31.73517504,1,0,Male,West,Television,Cash,371.71,4,13,0.0,Evening
62,5,124.82,37.51819207,2,0,Male,West,Mobile,Credit Card,369.4,3,13,0.0,Morning
32,13,366.07,13.3933094,4,0,Female,East,Tablet,Net Banking,1360.57,3,30,0.0,Evening
60,10,414.71,8.529146606,4,1,Female,South,Mobile,Net Banking,1664.88,3,21,0.0,Afternoon
46,4,135.55,36.44473496,1,0,Male,North,Laptop,Net Banking,116.39,4,9,0.0,Afternoon
53,8,141.7,35.83045846,1,0,Female,East,Television,Debit Card,127.29,3,9,0.0,Afternoon
30,9,140.68,35.93208622,2,0,Female,North,Television,Debit Card,278.8,4,7,0.0,Morning
49,13,241.56,25.84388583,2,1,Female,South,Accessories,Credit Card,526.07,3,22,0.0,Evening
24,7,205.57,29.44278151,2,0,Male,West,Television,Debit Card,464.87,4,10,1.0,Morning
68,14,667.26,5.0,5,1,Female,West,Mobile,Net Banking,3081.43,3,28,1.0,Morning
39,7,261.16,23.88363921,3,0,Male,South,Tablet,Credit Card,621.24,3,14,0.0,Evening
45,5,215.32,28.46804675,1,1,Male,West,Laptop,Credit Card,335.59,4,11,0.0,Morning
19,4,125.29,37.47075568,3,1,Male,East,Tablet,Net Banking,306.11,4,14,0.0,Afternoon
59,14,387.22,11.27836192,1,0,Female,South,Mobile,UPI,575.03,3,6,0.0,Evening
62,10,187.94,31.20598695,1,1,Female,West,Laptop,Net Banking,118.73,3,8,1.0,Afternoon
23,1,45.66,45.43423442,1,0,Male,South,Accessories,Credit Card,53.28,3,2,0.0,Morning
45,10,424.11,7.589398984,5,0,Male,North,Television,UPI,2031.09,3,30,0.0,Morning
45,10,208.84,29.11586658,1,1,Female,East,Television,Net Banking,178.57,4,8,0.0,Afternoon
61,7,230.5,26.94961619,1,0,Female,East,Accessories,Net Banking,169.78,4,10,0.0,Morning
61,1,32.06,46.79418817,1,0,Male,East,Mobile,UPI,123.74,3,0,0.0,Morning
37,1,36.88,46.31217957,1,0,Female,West,Accessories,UPI,-28.76,3,8,0.0,Evening
47,5,240.58,25.94172936,4,0,Other,North,Mobile,Cash,813.85,4,28,0.0,Evening
28,13,458.8,5.0,5,1,Male,West,Laptop,UPI,2016.23,4,32,1.0,Afternoon
45,9,305.17,19.4831561,3,0,Female,West,Tablet,Debit Card,725.58,4,20,0.0,Morning
42,6,100.57,39.94321841,1,1,Male,South,Tablet,UPI,97.77,3,5,0.0,Afternoon
56,3,51.61,44.8394715,1,0,Female,East,Accessories,Credit Card,134.6,3,10,1.0,Morning
50,13,280.24,21.97572099,5,0,Male,West,Television,UPI,1019.74,3,23,0.0,Evening
18,3,48.41,45.1590569,1,0,Male,East,Accessories,Net Banking,5.17,4,2,1.0,Evening
44,7,287.12,21.28785406,1,0,Female,North,Television,Debit Card,555.91,3,13,0.0,Morning
69,6,241.9,25.81006362,3,0,Female,North,Accessories,UPI,938.93,4,16,0.0,Evening
30,9,177.86,32.21422862,1,0,Male,East,Accessories,Debit Card,298.97,3,13,0.0,Evening
58,6,265.58,23.44234308,2,0,Male,East,Tablet,Cash,601.18,3,8,1.0,Morning
20,5,102.09,39.79124439,1,0,Male,North,Television,Debit Card,126.76,4,12,0.0,Evening
56,10,255.41,24.45885446,1,0,Female,North,Tablet,Net Banking,321.99,4,5,0.0,Morning
23,7,166.0,33.40006597,1,0,Female,West,Television,Cash,220.86,3,7,1.0,Afternoon
25,1,28.03,47.19692515,1,0,Female,North,Laptop,UPI,-29.36,4,9,1.0,Morning
44,12,286.96,21.30412183,1,1,Female,West,Laptop,Debit Card,492.1,4,9,1.0,Afternoon
26,7,224.79,27.5207023,3,0,Female,North,Laptop,Cash,604.74,3,25,0.0,Morning
54,3,87.78,41.22221725,4,0,Female,West,Mobile,UPI,324.94,4,24,0.0,Morning
50,14,693.42,5.0,5,0,Female,South,Tablet,UPI,3290.23,4,32,0.0,Morning
68,9,152.62,34.73831997,1,0,Female,South,Tablet,Debit Card,4.11,3,10,0.0,Morning
59,6,119.86,38.0141911,1,0,Female,West,Laptop,Debit Card,126.02,3,10,0.0,Morning
61,9,151.64,34.83598434,1,1,Male,East,Accessories,Cash,253.17,4,7,1.0,Afternoon
41,13,479.76,5.0,3,0,Male,South,Tablet,Debit Card,1715.17,3,17,0.0,Evening
32,5,84.54,41.54608765,1,0,Male,North,Television,UPI,-65.3,4,7,1.0,Morning
49,7,309.93,19.00722643,3,0,Female,East,Tablet,Net Banking,912.79,3,15,0.0,Afternoon
49,13,427.93,7.206792304,1,1,Male,North,Tablet,Cash,544.89,3,9,0.0,Afternoon
41,14,468.23,5.0,1,1,Male,South,Television,Net Banking,531.91,4,8,0.0,Morning
58,4,138.62,36.13767689,1,1,Other,North,Laptop,Net Banking,311.58,4,6,0.0,Morning
69,7,146.85,35.3150642,1,0,Female,West,Laptop,UPI,74.16,3,7,0.0,Morning
66,13,284.95,21.50509121,1,0,Other,East,Television,Net Banking,382.36,4,16,0.0,Afternoon
66,1,26.16,47.38413937,1,0,Male,South,Tablet,Credit Card,122.7,3,4,1.0,Morning
69,7,250.41,24.95933781,3,0,Female,East,Tablet,Cash,662.86,3,18,1.0,Morning
29,8,178.83,32.11670227,4,1,Male,West,Laptop,UPI,693.21,3,25,0.0,Evening
56,5,95.36,40.46419478,1,0,Male,South,Mobile,Debit Card,166.38,4,13,0.0,Afternoon
19,2,97.91,40.2091818,1,0,Male,North,Laptop,UPI,19.0,4,4,0.0,Morning
20,5,78.85,42.11531824,1,0,Female,East,Television,Debit Card,1.06,3,9,0.0,Afternoon
66,6,258.57,24.14335449,1,0,Male,South,Mobile,UPI,58.46,3,7,0.0,Morning
54,12,510.97,5.0,5,1,Female,South,Mobile,Credit Card,2545.88,4,35,1.0,Morning
66,2,50.8,44.9195012,1,0,Female,West,Television,Cash,66.31,3,8,1.0,Afternoon
34,14,276.46,22.35429582,1,0,Male,South,Accessories,Net Banking,356.29,4,6,0.0,Afternoon
66,6,120.58,37.94179842,1,0,Male,South,Laptop,UPI,150.61,3,7,0.0,Afternoon
19,6,236.46,26.35393604,3,1,Male,West,Tablet,Cash,634.6,4,16,0.0,Afternoon
19,1,37.5,46.25017693,1,1,Female,North,Laptop,Cash,151.7,4,5,0.0,Evening
45,14,593.55,5.0,5,0,Male,North,Television,Cash,2859.55,4,28,1.0,Afternoon
40,1,47.81,45.2188159,1,1,Male,South,Tablet,Cash,42.96,3,3,0.0,Morning
54,14,549.04,5.0,5,0,Male,North,Accessories,Cash,2657.95,4,34,0.0,Morning
49,11,225.0,27.49971584,1,0,Female,West,Television,Net Banking,297.3,4,7,1.0,Afternoon
50,10,235.2,26.47950841,1,0,Male,North,Laptop,Net Banking,128.74,4,8,1.0,Afternoon
18,3,133.43,36.65696583,1,0,Male,South,Mobile,UPI,226.99,3,4,0.0,Afternoon
36,14,312.56,18.74400228,5,0,Male,West,Television,Debit Card,1326.2,4,27,0.0,Afternoon
19,10,175.38,32.46171891,1,0,Female,North,Television,UPI,130.04,4,5,1.0,Afternoon
61,10,396.15,10.38519811,5,0,Male,East,Laptop,Cash,1843.36,4,27,0.0,Morning
43,12,349.06,15.09389307,4,0,Female,East,Accessories,Debit Card,1456.44,4,23,0.0,Unknown
49,3,141.6,35.83957945,2,0,Male,West,Laptop,UPI,357.1,3,9,1.0,Afternoon
23,4,151.04,34.896429,1,0,Female,North,Laptop,Debit Card,212.47,4,3,0.0,Afternoon
49,2,36.33,46.36706716,1,0,Female,South,Accessories,Net Banking,132.08,3,5,0.0,Afternoon
21,9,433.57,6.642518132,3,0,Female,East,Accessories,Cash,1596.07,4,20,0.0,Afternoon
28,10,240.5,25.95049577,1,0,Male,North,Television,Debit Card,312.15,3,16,1.0,Evening
34,12,321.63,17.8370754,4,0,Male,North,Mobile,Credit Card,1225.0,4,20,1.0,Evening
55,11,319.87,18.01297407,1,0,Male,South,Laptop,Cash,353.14,3,8,1.0,Morning
41,14,235.1,26.49000948,1,0,Female,South,Mobile,Net Banking,120.17,3,9,0.0,Afternoon
22,7,226.65,27.33537216,1,1,Female,North,Accessories,Net Banking,172.46,3,0,0.0,Afternoon
69,7,135.21,36.47869697,5,0,Male,South,Accessories,UPI,315.24,4,28,0.0,Morning
51,6,174.2,32.57962314,2,0,Female,West,Laptop,Credit Card,255.32,3,13,1.0,Morning
23,3,81.82,41.81754723,1,0,Male,East,Television,Debit Card,320.86,4,4,0.0,Afternoon
39,6,252.3,24.77035825,1,0,Female,East,Laptop,UPI,352.4,3,9,0.0,Evening
28,14,603.55,5.0,5,0,Male,North,Television,Net Banking,2892.86,4,33,0.0,Morning
65,12,244.43,25.55665894,2,1,Male,North,Tablet,Debit Card,504.57,4,10,0.0,Afternoon
33,8,222.63,27.73656675,2,0,Male,South,Television,Net Banking,382.04,4,14,0.0,Afternoon
50,8,224.54,27.54611149,1,1,Female,East,Laptop,Net Banking,278.85,3,10,0.0,Afternoon
26,11,223.29,27.67069791,2,0,Female,South,Laptop,Credit Card,488.52,3,13,0.0,Morning
23,13,558.3,5.0,4,1,Male,North,Television,Cash,2491.02,4,26,1.0,Morning
33,9,357.78,14.22230766,2,1,Female,North,Mobile,Debit Card,645.74,4,13,0.0,Morning
46,1,21.66,47.83366375,1,1,Male,North,Television,Credit Card,29.77,4,8,0.0,Afternoon
20,14,389.69,11.03062648,1,1,Male,North,Tablet,Net Banking,481.71,4,8,0.0,Morning
37,1,18.7,48.12968241,1,1,Male,North,Tablet,Net Banking,54.64,3,8,1.0,Afternoon
53,3,110.96,38.90383073,2,0,Female,North,Mobile,Credit Card,60.22,4,11,0.0,Evening
36,3,57.74,44.22559479,1,0,Female,West,Tablet,Debit Card,37.32,3,7,1.0,Unknown
43,10,495.08,5.0,3,0,Female,West,Laptop,Net Banking,1528.59,3,20,0.0,Evening
20,8,338.59,16.14090191,2,0,Female,South,Mobile,Debit Card,736.95,3,13,1.0,Morning
36,10,286.58,21.34165076,3,0,Male,West,Mobile,Credit Card,747.06,3,24,1.0,Afternoon
37,1,35.25,46.47502624,1,0,Female,South,Mobile,Net Banking,-146.98,3,0,0.0,Morning
49,13,609.66,5.0,5,0,Male,South,Television,UPI,2852.81,3,33,0.0,Evening
24,2,68.79,43.12130504,4,1,Female,West,Television,UPI,234.48,4,21,1.0,Afternoon
69,2,42.21,45.7785106,1,0,Male,East,Mobile,Net Banking,118.26,4,5,0.0,Evening
58,3,84.76,41.52361477,1,0,Female,South,Tablet,Cash,149.91,3,3,1.0,Afternoon
50,13,578.63,5.0,5,1,Female,North,Laptop,Net Banking,2894.23,4,29,1.0,Unknown
57,6,225.28,27.47152666,5,0,Male,South,Laptop,Net Banking,985.74,3,29,0.0,Afternoon
56,1,37.78,46.22246465,1,0,Female,South,Television,Net Banking,-28.82,3,2,1.0,Evening
35,2,90.68,40.9322496,1,1,Male,East,Accessories,Credit Card,-34.11,4,4,0.0,Afternoon
57,13,601.76,5.0,5,0,Male,North,Mobile,Net Banking,2912.61,4,34,0.0,Afternoon
